twa/tws;0;4;6;8;10;12;14;16;18;20;22;24;26;28;30;40;50;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;2.5;3.9;5;5.7;5.91;6.1;6.2;6.3;6.3;6.28;6.39;6.5;6.5;6.29;6.11;5.91;4.86
33;0;2.8;4.3;5.4;6;6.2;6.4;6.5;6.6;6.7;6.7;6.8;6.91;6.92;6.75;6.64;6.39;5.25
36;0;3.1;4.6;5.7;6.2;6.5;6.7;6.8;7;6.99;7.09;7.29;7.39;7.39;7.2;7.09;6.78;5.74
39;0;3.3;4.9;5.9;6.4;6.7;6.9;7.1;7.3;7.39;7.58;7.68;7.83;7.78;7.68;7.49;7.18;6.22
42;0;3.5;5.14;6.1;6.6;7;7.2;7.5;7.6;7.68;7.98;8.18;8.21;8.18;8.18;7.98;7.55;6.59
45;0;3.7;5.4;6.3;6.8;7.2;7.5;7.8;8;8.08;8.37;8.63;8.67;8.57;8.67;8.37;7.92;6.92
50;0;4.1;5.7;6.5;7.1;7.6;8;8.3;8.6;8.77;9.06;9.26;9.26;9.16;9.36;9.06;8.62;7.51
55;0;4.4;5.9;6.8;7.4;8;8.5;8.8;9.2;9.32;9.73;9.95;10.05;9.94;10.24;9.95;9.49;8.07
60;0;4.6;6.05;6.9;7.6;8.2;8.8;9.2;9.68;9.95;10.54;10.74;10.84;10.84;11.23;10.93;10.36;8.64
65;0;4.77;6.16;7.06;7.85;8.55;9.14;9.64;10.24;10.67;11.23;11.43;11.52;11.52;11.92;11.52;11.04;9.17
70;0;4.81;6.24;7.23;8.02;8.81;9.5;10.2;10.79;11.28;11.72;12.02;12.21;12.21;12.51;12.12;11.62;9.71
75;0;4.85;6.34;7.33;8.32;9.11;9.9;10.69;11.29;11.77;12.35;12.51;12.71;12.71;13.1;12.71;12.11;10.02
80;0;4.85;6.33;7.38;8.51;9.41;10.3;11.19;11.78;12.17;12.75;12.83;13.2;13.2;13.59;13.1;12.49;10.43
85;0;4.95;6.44;7.62;8.59;9.66;10.59;11.58;12.18;12.56;13.01;13.26;13.71;13.79;14.09;13.59;13.08;10.74
90;0;4.95;6.44;7.68;8.71;9.9;10.99;11.72;12.35;12.86;13.3;13.62;14.11;14.28;14.78;14.28;13.46;11
95;0;4.95;6.44;7.72;8.81;10;11.19;11.95;12.38;13.07;13.74;14.12;14.6;14.88;15.27;14.81;13.95;11.41
100;0;4.87;6.44;7.82;8.86;10.1;11.39;12.07;12.77;13.31;14.03;14.4;14.89;15.28;15.66;15.17;14.53;11.86
105;0;4.84;6.34;7.82;8.91;10.1;11.39;12.28;12.97;13.65;14.16;14.71;15.29;15.67;16.06;15.56;14.92;12.34
110;0;4.76;6.24;7.72;8.91;10.1;11.39;12.47;13.27;13.95;14.53;14.82;15.48;16.16;16.64;16.15;15.4;12.94
115;0;4.7;6.17;7.52;8.81;10.01;11.29;12.47;13.37;14.05;14.71;15.19;15.55;16.26;17.03;16.55;15.79;13.47
120;0;4.52;6.1;7.4;8.68;9.7;11.09;12.38;13.27;14.06;14.63;15.34;15.88;16.15;17.33;16.6;16.08;13.84
125;0;4.3;6;7.2;8.5;9.5;10.99;12.28;13.17;14.05;14.72;15.4;16.08;16.26;17.13;16.65;15.88;14.05
130;0;4;5.8;7.1;8.2;9.37;10.8;12;13.2;13.95;14.72;15.5;16.18;16.16;16.94;16.55;15.59;14.16
135;0;3.7;5.4;6.9;7.7;8.9;10.3;11.2;12.8;13.61;14.62;15.4;16.18;16.06;16.84;16.45;15.5;14.07
140;0;3.3;4.9;6.7;7.2;8.4;9.69;10.6;12.1;12.81;14.09;14.97;15.76;15.96;16.84;16.45;15.5;13.81
145;0;3;4.5;6.36;6.8;7.95;9.1;10.1;11.1;12.02;13.4;14.38;15.36;15.96;16.75;16.25;15.5;13.55
150;0;2.6;4.1;5.9;6.3;7.2;8.3;9.4;10.4;11.33;12.61;13.59;14.72;15.56;16.55;16.06;15.3;12.84
155;0;2.2;3.5;5.32;5.7;6.5;7.4;8.4;9.4;10.05;11.23;12.31;13.79;14.78;15.66;15.17;14.53;11.79
160;0;1.9;3.1;4.71;5.1;6;6.7;7.6;8.58;8.96;9.75;10.74;12.21;13.1;14.09;13.69;13.08;10.47
180;0;1.3;2;2.9;3.3;3.9;4.4;5;5.5;6.01;6.4;6.99;7.68;8.27;9.16;8.87;7.73;6.63
